,base,yng,mid,old
2010-01-01,1538115,0,0,3
2010-01-02,1283801,2,0,5
2010-01-03,1359827,1,0,1
2010-01-04,1448832,6,0,3
2010-01-05,1494433,2,0,4
2010-01-06,1588757,3,0,8
2010-01-07,1607094,3,1,2
2010-01-08,1668341,2,0,12
2010-01-09,1586236,3,1,11
2010-01-10,1579227,2,2,6
2010-01-11,1662544,3,0,1
2010-01-12,1671232,0,0,19
2010-01-13,1683608,0,0,2
2010-01-14,1688988,1,0,0
2010-01-15,1719264,3,1,2
2010-01-16,1749774,2,0,1
2010-01-17,1826278,5,0,2
2010-01-18,1831949,1,1,4
2010-01-19,1932147,2,0,9
2010-01-20,1848193,0,0,31
2010-01-21,2024481,7,0,4
2010-01-22,2070708,1,1,0
2010-01-23,2060250,3,0,0
2010-01-24,2093706,3,2,5
2010-01-25,2077814,1,2,9
2010-01-26,2123135,0,1,8
2010-01-27,2181868,3,0,2
2010-01-28,2210752,5,0,6
2010-01-29,2235957,3,1,12
2010-01-30,2180011,3,0,7
2010-01-31,2218262,0,0,11
2010-02-01,2362063,3,2,9
2010-02-02,2335582,4,0,3
2010-02-03,2383599,2,0,14
2010-02-04,2347892,6,2,43
2010-02-05,2446458,3,2,21
2010-02-06,2335142,3,1,6
2010-02-07,2393294,5,0,6
2010-02-08,2310611,2,0,15
2010-02-09,2484015,11,2,11
2010-02-10,2448888,28,2,7
2010-02-11,2574065,21,1,2
2010-02-12,2538366,7,0,4
2010-02-13,2603158,4,0,5
2010-02-14,2747945,4,0,9
2010-02-15,2469314,1,1,8
2010-02-16,2557020,3,1,5
2010-02-17,2667520,1,2,3
2010-02-18,2697063,1,0,9
2010-02-19,2903035,5,1,12
2010-02-20,2619406,0,0,4
2010-02-21,2682026,2,1,1
2010-02-22,2750528,5,1,14
2010-02-23,2751703,4,0,6
2010-02-24,2838198,3,2,8
2010-02-25,2776062,5,2,7
2010-02-26,2873630,3,0,9
2010-02-27,2819528,0,1,6
2010-02-28,2848448,0,0,7
2010-03-01,2731201,2,1,1
2010-03-02,2801149,3,0,18
2010-03-03,2838846,2,0,6
2010-03-04,2812088,1,0,8
2010-03-05,2899217,1,2,5
2010-03-06,2920140,4,2,12
2010-03-07,2949962,4,0,13
2010-03-08,2973125,3,0,6
2010-03-09,3197742,2,0,10
2010-03-10,3115619,4,2,6
2010-03-11,3092750,4,0,7
2010-03-12,3057492,4,2,4
2010-03-13,3069837,3,0,5
2010-03-14,3048937,3,0,18
2010-03-15,2989446,5,0,7
2010-03-16,3121662,6,2,7
2010-03-17,3064905,2,0,10
2010-03-18,3090212,3,1,3
2010-03-19,3172072,4,1,5
2010-03-20,3170930,2,2,15
2010-03-21,3187770,6,0,8
2010-03-22,3125244,0,2,5
2010-03-23,3178875,3,1,10
2010-03-24,3273318,0,0,23
